street,domain,qid,wikidata_label,description,sitelinks,km_from_ada_county,same_name_items_in_domain,other_domains,via,url,verdict__y_n_w_q,notes
North Amber Street,fish,Q533533,Amber,species of fish,22,,1,-,full,https://www.wikidata.org/wiki/Q533533,n,"ambiguous, but almost certainly not the fish"
North Bluegrass Avenue,plant,Q157656,bluegrass,genus of plants,51,,1,-,full,https://www.wikidata.org/wiki/Q157656,y,technically ambiguous but almost certainly plant-related
North Dawn Street,gemstone,Q133867079,Dawn,unique Russian diamond,3,,1,mineral,full,https://www.wikidata.org/wiki/Q133867079,n,still a dubious choice
West Redwood Creek Drive,us_river,Q3422988,Redwood Creek,"river in northern Humboldt County, California, United States",10,688,4,-,full,https://www.wikidata.org/wiki/Q3422988,y,
West Malta Drive,idaho_place,Q993877,Malta,"city in Cassia County, Idaho, United States",40,266,1,country,full,https://www.wikidata.org/wiki/Q993877,n,should be the country based on proximity
South Spring Lake Way,us_lake,Q124448842,Spring Lake,"lake in King County, Washington, United States of America",3,636,8,-,full,https://www.wikidata.org/wiki/Q124448842,q,plausible based on proximity
North Taurus Way,constellation,Q10570,Taurus,zodiac constellation straddling the celestial equator,109,,1,-,full,https://www.wikidata.org/wiki/Q10570,y,
West Panama Street,country,Q804,Panama,sovereign state in Central America,301,5203,1,-,full,https://www.wikidata.org/wiki/Q804,y,
East Powder River Drive,us_river,Q2096785,Powder River,river in Montana and Wyoming,19,923,2,-,full,https://www.wikidata.org/wiki/Q2096785,y,
North Turnberry Way,golf_course,Q2096062,Turnberry,"golf resort on the Firth of Clyde in South Ayrshire, southwest Scotland",11,7283,1,-,full,https://www.wikidata.org/wiki/Q2096062,y,
East Kiwi Court,plant,Q163522,kiwi,species of plant,33,,1,-,full,https://www.wikidata.org/wiki/Q163522,y,
West Garfield Street,us_president,Q34597,James A. Garfield,president of the United States in 1881,147,,1,idaho_place,surname,https://www.wikidata.org/wiki/Q34597,y,
West Pine Creek Court,idaho_place,Q7195093,Pine Creek,"human settlement in Idaho, United States",1,456,1,us_river,full,https://www.wikidata.org/wiki/Q7195093,y,
South Jordan Creek Way,us_river,Q6276469,Jordan Creek,"river Owyhee County, Idaho and Malheur County, Oregon in the United States",2,131,7,-,full,https://www.wikidata.org/wiki/Q6276469,y,
North Stanley Creek Avenue,us_river,Q28109105,Stanley Creek,river in the United States of America,2,2314,1,-,full,https://www.wikidata.org/wiki/Q28109105,q,which state is the river in?
South Larkspur Court,plant,Q160107,larkspur,genus of plants,62,,3,-,full,https://www.wikidata.org/wiki/Q160107,y,
East Whitney Court,fish,Q1985001,Whitney,species of fish,11,,1,idaho_place,full,https://www.wikidata.org/wiki/Q1985001,q,ambiguous
North Snowbell Road,plant,Q525062,snowbell,genus of plants,31,,2,-,full,https://www.wikidata.org/wiki/Q525062,y,
South Aurora Drive,roman_deity,Q178831,Aurora,goddess of dawn in Roman mythology,56,,1,-,full,https://www.wikidata.org/wiki/Q178831,q,ambiguous
West Talbot Street,dog_breed,Q39390,Talbot,extinct dog type,11,,1,-,full,https://www.wikidata.org/wiki/Q39390,y,
South Pegasus Way,constellation,Q8864,Pegasus,constellation in the northern celestial hemisphere,91,,1,-,full,https://www.wikidata.org/wiki/Q8864,q,"ambiguous, use proximity"
